,school_server_code,level_1,domain,duration_weeks,teacher_uids,event
352,4152030-tg230,0,English,2,"37203034,37203011,37203024",1
353,4152030-tg230,1,Math,2,"37203034,37203011,37203024",1
354,4152030-tg230,2,Science,2,"37203034,37203011,37203024",1
355,4152031-tg231,0,English,11,"37203134,37203114,37203120",1
356,4152031-tg231,1,Math,11,"37203134,37203114,37203120",1
357,4152031-tg231,2,Science,11,"37203134,37203114,37203120",1
358,4152033-tg233,0,English,1,"37203310,37203331",1
359,4152033-tg233,1,Math,1,"37203310,37203331",1
360,4152033-tg233,2,Science,1,"37203310,37203331",1
361,4152035-tg235,0,English,3,"48203514,48203524,48203534",1
362,4152035-tg235,1,Math,3,"48203514,48203524,48203534",1
363,4152035-tg235,2,Science,3,"48203514,48203524,48203534",1
364,4152038-tg238,0,English,1,"48203811,48203820,48203830,37203824",1
365,4152038-tg238,1,Math,1,"48203811,48203820,48203830,37203824",1
366,4152038-tg238,2,Science,1,"48203811,48203820,48203830,37203824",1
367,4152041-tg241,0,English,4,,1
368,4152041-tg241,1,Math,2,,1
369,4152041-tg241,2,Science,3,,1
370,4152049-tg249,0,English,1,,1
371,4152049-tg249,1,Math,2,,1
372,4152049-tg249,2,Science,3,,1
373,4152072-tg272,0,English,4,,1
374,4152072-tg272,1,Math,5,,1
375,4152072-tg272,2,Science,5,,1
376,4152091-tg291,0,English,1,,1
377,4152091-tg291,1,Math,1,,1
378,4152091-tg291,2,Science,1,,1
379,4152092-tg292,0,English,2,,1
380,4152092-tg292,1,Math,3,,1
381,4152092-tg292,2,Science,1,,1
382,4173027-tg27,0,English,1,"49302710,49302730",1
383,4173027-tg27,1,Math,1,"49302710,49302730",1
384,4173027-tg27,2,Science,1,"49302710,49302730",1
385,4173074-tg74,0,English,5,,1
386,4173074-tg74,1,Math,2,,1
387,4173074-tg74,2,Science,1,,1
388,4173075-tg75,0,English,4,,1
389,4173075-tg75,1,Math,3,,1
390,4173075-tg75,2,Science,8,,1
391,4173080-tg80,0,English,1,,1
392,4173080-tg80,1,Math,1,,1
393,4173080-tg80,2,Science,1,,1
394,4183016-tg16,0,English,1,"49301610,49301624,49301630",1
395,4183016-tg16,1,Math,1,"49301610,49301624,49301630",1
396,4183016-tg16,2,Science,1,"49301610,49301624,49301630",1
397,4183023-tg23,0,Math,1,"49302310,49302324,49302334",1
398,4183023-tg23,1,Science,1,"49302310,49302324,49302334",1
399,4183032-tg32,0,English,1,49303234,1
400,4183032-tg32,1,Math,1,49303234,1
401,4183032-tg32,2,Science,1,49303234,1
402,4183052-tg52,0,English,1,,1
403,4183052-tg52,1,Math,1,,1
404,4183052-tg52,2,Science,1,,1
405,4183068-tg68,0,Math,1,,1
406,4192099-tg299,0,English,4,,1
407,4192099-tg299,1,Math,1,,1
408,4192099-tg299,2,Science,2,,1
409,4202003-tg203,0,English,1,37200330,1
410,4202003-tg203,1,Math,1,37200330,1
411,4202003-tg203,2,Science,2,37200330,1
412,4202004-tg204,0,English,5,,1
413,4202004-tg204,1,Math,4,,1
414,4202004-tg204,2,Science,5,,1
415,4202010-tg210,0,English,10,,1
416,4202010-tg210,1,Math,6,,1
417,4202010-tg210,2,Science,8,,1
418,4202032-tg232,0,English,5,37203231,1
419,4202032-tg232,1,Math,5,37203231,1
