,school_server_code,level_1,tool_name,duration_weeks,event
436,4221067-tg167,1,food_sharing_tool,3,1
437,4221067-tg167,2,ice,2,1
438,4221067-tg167,3,rationpatterns,1,1
439,4221068-tg168,0,astroamer_element_hunt_activity,1,1
440,4221068-tg168,1,food_sharing_tool,1,1
441,4221074-tg174,0,ages_puzzle,1,1
442,4221074-tg174,1,astroamer_element_hunt_activity,2,1
443,4221074-tg174,2,factorisation,2,1
444,4221074-tg174,3,food_sharing_tool,2,1
445,4231023-tg123,0,ages_puzzle,1,1
446,4231023-tg123,1,astroamer_element_hunt_activity,1,1
447,4231029-tg129,0,ages_puzzle,2,1
448,4231029-tg129,1,astroamer_element_hunt_activity,7,1
449,4231029-tg129,2,astroamer_planet_trek_activity,1,1
450,4231029-tg129,3,coins_puzzle,2,1
451,4231029-tg129,4,factorisation,5,1
452,4231029-tg129,5,food_sharing_tool,8,1
453,4231029-tg129,6,policesquad,1,1
454,4231036-tg136,0,ages_puzzle,5,1
455,4231036-tg136,1,astroamer_element_hunt_activity,5,1
456,4231036-tg136,2,astroamer_moon_track,1,1
457,4231036-tg136,3,astroamer_planet_trek_activity,1,1
458,4231036-tg136,4,coins_puzzle,3,1
459,4231036-tg136,5,factorisation,11,1
460,4231036-tg136,6,food_sharing_tool,12,1
461,4231036-tg136,7,ice,4,1
462,4231036-tg136,8,policesquad,21,1
463,4231036-tg136,9,rationpatterns,6,1
464,4231043-tg143,0,factorisation,1,1
465,4231046-tg146,0,ages_puzzle,2,1
466,4231046-tg146,1,factorisation,1,1
467,4231046-tg146,2,food_sharing_tool,1,1
468,4231046-tg146,3,ice,1,1
469,4231050-tg150,0,factorisation,1,1
470,4231050-tg150,1,food_sharing_tool,1,1
471,4231051-tg151,0,ages_puzzle,1,1
472,4231051-tg151,1,coins_puzzle,1,1
473,4231051-tg151,2,factorisation,1,1
474,4231058-tg158,0,ages_puzzle,1,1
475,4231058-tg158,1,astroamer_element_hunt_activity,1,1
476,4231058-tg158,2,coins_puzzle,1,1
477,4231058-tg158,3,food_sharing_tool,2,1
478,4231078-tg178,0,ages_puzzle,1,1
479,4231078-tg178,1,coins_puzzle,1,1
480,4231078-tg178,2,factorisation,1,1
481,4231078-tg178,3,policesquad,1,1
482,4231084-tg184,0,ages_puzzle,1,1
483,4231084-tg184,1,coins_puzzle,1,1
484,4231084-tg184,2,factorisation,4,1
