,activities_visited,buddy_userids,enrollment_status,grade,lessons_visited,module_name,percentage_activities_visited,percentage_lessons_visited,school_code,school_name,server_id,state_code,timestamp,total_activities,total_lessons,unit_name,user_id,username
7617,9.0,[],Yes,Grade 9,0.0,[u'English Elementary'],8.653846153846152,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-12-20 16:24:00,104.0,13.0,ee-unit2-english-elementary,1085749.0,black-peacock-tg234
7618,9.0,[],Yes,Grade 9,0.0,[u'English Elementary'],8.653846153846152,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-12-20 16:24:00,104.0,13.0,ee-unit2-english-elementary,1085749.0,black-peacock-tg234
7619,10.0,[],Yes,Grade 9,0.0,[u'English Elementary'],9.615384615384617,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-12-27 14:24:00,104.0,13.0,ee-unit2-english-elementary,1085749.0,black-peacock-tg234
7620,10.0,[],Yes,Grade 9,0.0,[u'English Elementary'],9.615384615384617,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-12-27 14:24:00,104.0,13.0,ee-unit2-english-elementary,1085749.0,black-peacock-tg234
7621,19.0,[],Yes,Grade 9,0.0,[u'English Elementary'],18.269230769230766,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-14 16:27:00,104.0,13.0,ee-unit2-english-elementary,1085749.0,black-peacock-tg234
7622,1.0,[],Yes,,0.0,[u'English Elementary'],0.9615384615384616,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085750.0,black-piegon-tg234
7623,1.0,[],Yes,,0.0,[u'English Elementary'],0.9615384615384616,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085750.0,black-piegon-tg234
7624,4.0,[],Yes,,0.0,[u'English Elementary'],3.8461538461538463,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-11-01 21:19:00,104.0,13.0,ee-unit2-english-elementary,1085750.0,black-piegon-tg234
7625,4.0,[],Yes,,0.0,[u'English Elementary'],3.8461538461538463,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-11-01 21:19:00,104.0,13.0,ee-unit2-english-elementary,1085750.0,black-piegon-tg234
7626,5.0,[],Yes,Grade 9,0.0,[u'English Elementary'],4.807692307692308,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-01-04 14:25:00,104.0,13.0,ee-unit2-english-elementary,1085750.0,black-piegon-tg234
7627,7.0,[],Yes,Grade 9,0.0,[u'English Elementary'],6.730769230769232,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-13 12:29:00,104.0,13.0,ee-unit2-english-elementary,1085750.0,black-piegon-tg234
7628,12.0,[],Yes,Grade 9,0.0,[u'English Elementary'],11.538461538461537,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-14 16:27:00,104.0,13.0,ee-unit2-english-elementary,1085750.0,black-piegon-tg234
7629,2.0,[],Yes,Grade 9,0.0,[u'English Elementary'],1.9230769230769231,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-13 12:29:00,104.0,13.0,ee-unit2-english-elementary,1085751.0,black-pineapple-tg234
7630,4.0,[],Yes,Grade 9,0.0,[u'English Elementary'],3.8461538461538463,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-18 15:29:00,104.0,13.0,ee-unit2-english-elementary,1085751.0,black-pineapple-tg234
7631,8.0,[],Yes,Grade 9,0.0,[u'English Elementary'],7.6923076923076925,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-26 14:29:00,104.0,13.0,ee-unit2-english-elementary,1085751.0,black-pineapple-tg234
7632,0.0,[],No,,0.0,[u'English Elementary'],0.0,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085752.0,black-python-tg234
7633,0.0,[],No,,0.0,[u'English Elementary'],0.0,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085752.0,black-python-tg234
7634,1.0,[],No,,0.0,[u'English Elementary'],0.9615384615384616,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-12-20 16:24:00,104.0,13.0,ee-unit2-english-elementary,1085752.0,black-python-tg234
7635,1.0,[],No,,0.0,[u'English Elementary'],0.9615384615384616,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-12-20 16:24:00,104.0,13.0,ee-unit2-english-elementary,1085752.0,black-python-tg234
7636,3.0,[],Yes,,0.0,[u'English Elementary'],2.8846153846153846,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-01-04 14:25:00,104.0,13.0,ee-unit2-english-elementary,1085752.0,black-python-tg234
7637,6.0,[],Yes,,0.0,[u'English Elementary'],5.769230769230768,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-14 16:27:00,104.0,13.0,ee-unit2-english-elementary,1085752.0,black-python-tg234
7638,3.0,[],Yes,,0.0,[u'English Elementary'],2.8846153846153846,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085753.0,black-rabbit-tg234
7639,3.0,[],Yes,,0.0,[u'English Elementary'],2.8846153846153846,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085753.0,black-rabbit-tg234
7640,4.0,[],Yes,,0.0,[u'English Elementary'],3.8461538461538463,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-11-01 21:19:00,104.0,13.0,ee-unit2-english-elementary,1085753.0,black-rabbit-tg234
7641,4.0,[],Yes,,0.0,[u'English Elementary'],3.8461538461538463,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-11-01 21:19:00,104.0,13.0,ee-unit2-english-elementary,1085753.0,black-rabbit-tg234
7642,9.0,[],Yes,Choose Class / Grade,0.0,[u'English Elementary'],8.653846153846152,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-14 16:27:00,104.0,13.0,ee-unit2-english-elementary,1085753.0,black-rabbit-tg234
7643,12.0,[],Yes,Choose Class / Grade,0.0,[u'English Elementary'],11.538461538461537,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-26 14:29:00,104.0,13.0,ee-unit2-english-elementary,1085753.0,black-rabbit-tg234
7644,4.0,[],Yes,,0.0,[u'English Elementary'],3.8461538461538463,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085754.0,black-rhino-tg234
7645,4.0,[],Yes,,0.0,[u'English Elementary'],3.8461538461538463,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085754.0,black-rhino-tg234
7646,5.0,[],Yes,Grade 9,0.0,[u'English Elementary'],4.807692307692308,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-14 16:27:00,104.0,13.0,ee-unit2-english-elementary,1085754.0,black-rhino-tg234
7647,6.0,[],Yes,Grade 9,0.0,[u'English Elementary'],5.769230769230768,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-18 15:29:00,104.0,13.0,ee-unit2-english-elementary,1085754.0,black-rhino-tg234
7648,10.0,[],Yes,Grade 9,0.0,[u'English Elementary'],9.615384615384617,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-26 14:29:00,104.0,13.0,ee-unit2-english-elementary,1085754.0,black-rhino-tg234
7649,3.0,[],Yes,,0.0,[u'English Elementary'],2.8846153846153846,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085755.0,black-rose-tg234
7650,3.0,[],Yes,,0.0,[u'English Elementary'],2.8846153846153846,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085755.0,black-rose-tg234
7651,4.0,[],Yes,Grade 9,0.0,[u'English Elementary'],3.8461538461538463,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-01-04 14:25:00,104.0,13.0,ee-unit2-english-elementary,1085755.0,black-rose-tg234
7652,13.0,[],Yes,Grade 9,0.0,[u'English Elementary'],12.5,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-14 16:27:00,104.0,13.0,ee-unit2-english-elementary,1085755.0,black-rose-tg234
7653,14.0,[],Yes,Grade 9,0.0,[u'English Elementary'],13.461538461538463,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-15 14:27:00,104.0,13.0,ee-unit2-english-elementary,1085755.0,black-rose-tg234
7654,11.0,[],Yes,Grade 9,0.0,[u'English Elementary'],10.576923076923077,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-22 11:30:00,104.0,13.0,ee-unit2-english-elementary,1085756.0,black-scorpion-tg234
7655,12.0,[],Yes,Grade 9,0.0,[u'English Elementary'],11.538461538461537,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-26 14:29:00,104.0,13.0,ee-unit2-english-elementary,1085756.0,black-scorpion-tg234
7656,5.0,[],Yes,Choose Class / Grade,0.0,[u'English Elementary'],4.807692307692308,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-26 14:29:00,104.0,13.0,ee-unit2-english-elementary,1085757.0,black-seahorse-tg234
7657,2.0,[],Yes,,0.0,[u'English Elementary'],1.9230769230769231,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-26 14:29:00,104.0,13.0,ee-unit2-english-elementary,1085758.0,black-seal-tg234
7658,2.0,[],Yes,,0.0,[u'English Elementary'],1.9230769230769231,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085759.0,black-shark-tg234
7659,2.0,[],Yes,,0.0,[u'English Elementary'],1.9230769230769231,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085759.0,black-shark-tg234
7660,5.0,[],Yes,Grade 9,0.0,[u'English Elementary'],4.807692307692308,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-12-27 14:24:00,104.0,13.0,ee-unit2-english-elementary,1085759.0,black-shark-tg234
7661,5.0,[],Yes,Grade 9,0.0,[u'English Elementary'],4.807692307692308,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-12-27 14:24:00,104.0,13.0,ee-unit2-english-elementary,1085759.0,black-shark-tg234
7662,11.0,[],Yes,Grade 9,1.0,[u'English Elementary'],10.576923076923077,7.6923076923076925,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-01-04 14:25:00,104.0,13.0,ee-unit2-english-elementary,1085759.0,black-shark-tg234
7663,13.0,[],Yes,Grade 9,1.0,[u'English Elementary'],12.5,7.6923076923076925,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-26 14:29:00,104.0,13.0,ee-unit2-english-elementary,1085759.0,black-shark-tg234
7664,7.0,[],Yes,,0.0,[u'English Elementary'],6.730769230769232,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085760.0,black-sheep-tg234
7665,7.0,[],Yes,,0.0,[u'English Elementary'],6.730769230769232,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085760.0,black-sheep-tg234
7666,9.0,[],Yes,,0.0,[u'English Elementary'],8.653846153846152,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-01-04 14:25:00,104.0,13.0,ee-unit2-english-elementary,1085760.0,black-sheep-tg234
7667,0.0,[],No,Grade 9,0.0,[u'English Elementary'],0.0,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-15 15:27:00,104.0,13.0,ee-unit2-english-elementary,1085761.0,black-snail-tg234
7668,1.0,[],Yes,Grade 9,0.0,[u'English Elementary'],0.9615384615384616,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-22 11:30:00,104.0,13.0,ee-unit2-english-elementary,1085761.0,black-snail-tg234
7669,2.0,[],Yes,,0.0,[u'English Elementary'],1.9230769230769231,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085762.0,black-sparrow-tg234
7670,2.0,[],Yes,,0.0,[u'English Elementary'],1.9230769230769231,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085762.0,black-sparrow-tg234
7671,6.0,[],Yes,,1.0,[u'English Elementary'],5.769230769230768,7.6923076923076925,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085763.0,black-squid-tg234
7672,6.0,[],Yes,,1.0,[u'English Elementary'],5.769230769230768,7.6923076923076925,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085763.0,black-squid-tg234
7673,3.0,[],Yes,,0.0,[u'English Elementary'],2.8846153846153846,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085764.0,black-squirrel-tg234
7674,3.0,[],Yes,,0.0,[u'English Elementary'],2.8846153846153846,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085764.0,black-squirrel-tg234
7675,7.0,[],Yes,,0.0,[u'English Elementary'],6.730769230769232,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-11-01 21:19:00,104.0,13.0,ee-unit2-english-elementary,1085764.0,black-squirrel-tg234
7676,7.0,[],Yes,,0.0,[u'English Elementary'],6.730769230769232,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-11-01 21:19:00,104.0,13.0,ee-unit2-english-elementary,1085764.0,black-squirrel-tg234
7677,8.0,[],Yes,Grade 9,0.0,[u'English Elementary'],7.6923076923076925,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-13 12:29:00,104.0,13.0,ee-unit2-english-elementary,1085764.0,black-squirrel-tg234
7678,9.0,[],Yes,Grade 9,0.0,[u'English Elementary'],8.653846153846152,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-26 14:29:00,104.0,13.0,ee-unit2-english-elementary,1085764.0,black-squirrel-tg234
7679,2.0,[],Yes,,0.0,[u'English Elementary'],1.9230769230769231,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085765.0,black-strawberry-tg234
7680,2.0,[],Yes,,0.0,[u'English Elementary'],1.9230769230769231,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1085765.0,black-strawberry-tg234
7681,2.0,[],Yes,,0.0,[u'English Elementary'],1.9230769230769231,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-21 22:12:00,104.0,13.0,ee-unit2-english-elementary,1085788.0,blue-dog-tg234
7682,2.0,[],Yes,,0.0,[u'English Elementary'],1.9230769230769231,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-21 22:12:00,104.0,13.0,ee-unit2-english-elementary,1085788.0,blue-dog-tg234
7683,3.0,[],Yes,,0.0,[u'English Elementary'],2.8846153846153846,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-21 22:12:00,104.0,13.0,ee-unit2-english-elementary,1085827.0,blue-rose-tg234
7684,3.0,[],Yes,,0.0,[u'English Elementary'],2.8846153846153846,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-21 22:12:00,104.0,13.0,ee-unit2-english-elementary,1085827.0,blue-rose-tg234
7685,2.0,[],Yes,,0.0,[u'English Elementary'],1.9230769230769231,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-21 22:12:00,104.0,13.0,ee-unit2-english-elementary,1085981.0,gray-strawberry-tg234
7686,2.0,[],Yes,,0.0,[u'English Elementary'],1.9230769230769231,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-21 22:12:00,104.0,13.0,ee-unit2-english-elementary,1085981.0,gray-strawberry-tg234
7687,1.0,[],Yes,,0.0,[u'English Elementary'],0.9615384615384616,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-28 22:14:00,104.0,13.0,ee-unit2-english-elementary,1086013.0,green-frog-tg234
7688,1.0,[],Yes,,0.0,[u'English Elementary'],0.9615384615384616,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-28 22:14:00,104.0,13.0,ee-unit2-english-elementary,1086013.0,green-frog-tg234
7689,2.0,[],No,,0.0,[u'English Elementary'],1.9230769230769231,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-23 18:12:00,104.0,13.0,ee-unit2-english-elementary,1086279.0,orange-banana-tg234
7690,2.0,[],No,,0.0,[u'English Elementary'],1.9230769230769231,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-23 18:12:00,104.0,13.0,ee-unit2-english-elementary,1086279.0,orange-banana-tg234
7691,1.0,[],Yes,,0.0,[u'English Elementary'],0.9615384615384616,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1086288.0,orange-cheetah-tg234
7692,1.0,[],Yes,,0.0,[u'English Elementary'],0.9615384615384616,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:18:00,104.0,13.0,ee-unit2-english-elementary,1086288.0,orange-cheetah-tg234
7693,2.0,[],Yes,,0.0,[u'English Elementary'],1.9230769230769231,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-11-01 21:19:00,104.0,13.0,ee-unit2-english-elementary,1086288.0,orange-cheetah-tg234
7694,2.0,[],Yes,,0.0,[u'English Elementary'],1.9230769230769231,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-11-01 21:19:00,104.0,13.0,ee-unit2-english-elementary,1086288.0,orange-cheetah-tg234
7695,5.0,[],Yes,,0.0,[u'English Elementary'],4.807692307692308,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-12-20 16:24:00,104.0,13.0,ee-unit2-english-elementary,1086445.0,purple-frog-tg234
7696,5.0,[],Yes,,0.0,[u'English Elementary'],4.807692307692308,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-12-20 16:24:00,104.0,13.0,ee-unit2-english-elementary,1086445.0,purple-frog-tg234
7697,0.0,[],No,Grade 9,0.0,[u'English Elementary'],0.0,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-07-02 19:07:00,104.0,13.0,ee-unit2-english-elementary,1260002.0,black-apple-sp100
7698,0.0,[],No,Grade 9,0.0,[u'English Elementary'],0.0,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-07-02 19:07:00,104.0,13.0,ee-unit2-english-elementary,1260002.0,black-apple-sp100
7701,0.0,[],No,,0.0,[u'Sound'],0.0,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-01-22 14:35:00,56.0,10.0,sound,1085658.0,blue-silver-tg234
7702,5.0,[],Yes,,0.0,[u'Sound'],8.928571428571429,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-20 21:13:00,56.0,10.0,sound,1085701.0,black-ant-tg234
7703,5.0,[],Yes,,0.0,[u'Sound'],8.928571428571429,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-20 21:13:00,56.0,10.0,sound,1085701.0,black-ant-tg234
7704,6.0,[],Yes,,1.0,[u'Sound'],10.714285714285714,10.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-12-20 16:33:00,56.0,10.0,sound,1085701.0,black-ant-tg234
7705,6.0,[],Yes,,1.0,[u'Sound'],10.714285714285714,10.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-12-20 16:33:00,56.0,10.0,sound,1085701.0,black-ant-tg234
7706,8.0,[],Yes,,2.0,[u'Sound'],14.285714285714285,20.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-13 12:40:00,56.0,10.0,sound,1085701.0,black-ant-tg234
7707,1.0,[],Yes,,1.0,[u'Sound'],1.7857142857142856,10.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-12-20 16:33:00,56.0,10.0,sound,1085702.0,black-apple-tg234
7708,1.0,[],Yes,,1.0,[u'Sound'],1.7857142857142856,10.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-12-20 16:33:00,56.0,10.0,sound,1085702.0,black-apple-tg234
7709,3.0,[],Yes,,0.0,[u'Sound'],5.357142857142857,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-20 21:13:00,56.0,10.0,sound,1085703.0,black-banana-tg234
7710,3.0,[],Yes,,0.0,[u'Sound'],5.357142857142857,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-20 21:13:00,56.0,10.0,sound,1085703.0,black-banana-tg234
7711,9.0,[],Yes,,0.0,[u'Sound'],16.071428571428573,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-18 12:39:00,56.0,10.0,sound,1085703.0,black-banana-tg234
7712,16.0,[],Yes,,0.0,[u'Sound'],28.57142857142857,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-18 13:38:00,56.0,10.0,sound,1085703.0,black-banana-tg234
7713,3.0,[],Yes,,0.0,[u'Sound'],5.357142857142857,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-20 21:13:00,56.0,10.0,sound,1085704.0,black-bat-tg234
7714,3.0,[],Yes,,0.0,[u'Sound'],5.357142857142857,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-20 21:13:00,56.0,10.0,sound,1085704.0,black-bat-tg234
7715,16.0,[],Yes,,5.0,[u'Sound'],28.57142857142857,50.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-12-20 16:33:00,56.0,10.0,sound,1085704.0,black-bat-tg234
7716,16.0,[],Yes,,5.0,[u'Sound'],28.57142857142857,50.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-12-20 16:33:00,56.0,10.0,sound,1085704.0,black-bat-tg234
7717,23.0,[1085703],Yes,,5.0,[u'Sound'],41.07142857142857,50.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-18 12:39:00,56.0,10.0,sound,1085704.0,black-bat-tg234
7718,29.0,[],Yes,,5.0,[u'Sound'],51.78571428571429,50.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-18 13:38:00,56.0,10.0,sound,1085704.0,black-bat-tg234
7719,2.0,[],Yes,,1.0,[u'Sound'],3.571428571428571,10.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-20 21:13:00,56.0,10.0,sound,1085705.0,black-bear-tg234
7720,2.0,[],Yes,,1.0,[u'Sound'],3.571428571428571,10.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-20 21:13:00,56.0,10.0,sound,1085705.0,black-bear-tg234
7721,9.0,[],Yes,,2.0,[u'Sound'],16.071428571428573,20.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-13 12:40:00,56.0,10.0,sound,1085705.0,black-bear-tg234
7722,15.0,[],Yes,Choose Class / Grade,2.0,[u'Sound'],26.785714285714285,20.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-18 12:39:00,56.0,10.0,sound,1085705.0,black-bear-tg234
7723,23.0,[],Yes,Choose Class / Grade,4.0,[u'Sound'],41.07142857142857,40.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-18 13:38:00,56.0,10.0,sound,1085705.0,black-bear-tg234
7724,9.0,[1085714],No,Choose Class / Grade,2.0,[u'Sound'],16.071428571428573,20.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-18 12:39:00,56.0,10.0,sound,1085706.0,black-beatle-tg234
7725,21.0,[],Yes,Choose Class / Grade,4.0,[u'Sound'],37.5,40.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-18 13:38:00,56.0,10.0,sound,1085706.0,black-beatle-tg234
7726,9.0,[],Yes,,1.0,[u'Sound'],16.071428571428573,10.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:24:00,56.0,10.0,sound,1085707.0,black-bulbul-tg234
7727,9.0,[],Yes,,1.0,[u'Sound'],16.071428571428573,10.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-09-18 21:24:00,56.0,10.0,sound,1085707.0,black-bulbul-tg234
7728,10.0,[],Yes,,2.0,[u'Sound'],17.857142857142858,20.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-12-20 16:33:00,56.0,10.0,sound,1085707.0,black-bulbul-tg234
7729,10.0,[],Yes,,2.0,[u'Sound'],17.857142857142858,20.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-12-20 16:33:00,56.0,10.0,sound,1085707.0,black-bulbul-tg234
7730,11.0,[],Yes,Grade 8,3.0,[u'Sound'],19.642857142857142,30.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-01-30 11:36:00,56.0,10.0,sound,1085707.0,black-bulbul-tg234
7731,5.0,[1085710],Yes,,2.0,[u'Sound'],8.928571428571429,20.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-21 22:15:00,56.0,10.0,sound,1085708.0,black-bull-tg234
7732,5.0,[1085710],Yes,,2.0,[u'Sound'],8.928571428571429,20.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-21 22:15:00,56.0,10.0,sound,1085708.0,black-bull-tg234
7733,8.0,[],Yes,,2.0,[u'Sound'],14.285714285714285,20.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-12-20 16:33:00,56.0,10.0,sound,1085708.0,black-bull-tg234
7734,8.0,[],Yes,,2.0,[u'Sound'],14.285714285714285,20.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-12-20 16:33:00,56.0,10.0,sound,1085708.0,black-bull-tg234
7735,11.0,[],Yes,,2.0,[u'Sound'],19.642857142857142,20.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-01-08 12:33:00,56.0,10.0,sound,1085708.0,black-bull-tg234
7736,14.0,[],Yes,,2.0,[u'Sound'],25.0,20.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-01-30 11:36:00,56.0,10.0,sound,1085708.0,black-bull-tg234
7737,20.0,[],Yes,,4.0,[u'Sound'],35.714285714285715,40.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2019-02-13 12:40:00,56.0,10.0,sound,1085708.0,black-bull-tg234
7738,5.0,[],Yes,,0.0,[u'Sound'],8.928571428571429,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-20 21:13:00,56.0,10.0,sound,1085709.0,black-butterfly-tg234
7739,5.0,[],Yes,,0.0,[u'Sound'],8.928571428571429,0.0,4202034.0,ZPHS KODURUPAKA,tg234,tg,2018-08-20 21:13:00,56.0,10.0,sound,1085709.0,black-butterfly-tg234
