server_id,school_name,school_code,module_name,unit_name,username,user_id,grade,enrollment_status,buddy_userids,total_lessons,lessons_visited,percentage_lessons_visited,total_activities,activities_visited,percentage_activities_visited,timestamp,state_code,school_server_code,days_server_wo_activity,tools_only_activity,module_only_activity,tool_with_module_activity,total_days_server_on
ct24,Govt.High School Rampur,1011024.0,[u'Understanding Motion'],um-physics-motion,brown-peacock-sp100,1260193,Grade 8,No,[],12,0,0.0,69,2,2.898550724637681,2018-07-11 18:31:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Basic Astronomy'],ast-unit1-earth,blue-copper-sp100,1259953,Grade 8,No,[],5,0,0.0,15,0,0.0,2018-07-11 18:34:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Basic Astronomy'],ast-unit1-earth,brown-ostrich-sp100,1260189,,Yes,[],5,1,20.0,15,6,40.0,2018-07-11 18:34:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Basic Astronomy'],ast-unit1-earth,brown-peacock-sp100,1260193,Grade 8,Yes,[],5,1,20.0,15,6,40.0,2018-07-11 18:34:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'English Beginner'],eb-unit1-english-beginner,blue-copper-sp100,1259953,Grade 8,No,[],13,0,0.0,128,1,0.78125,2018-07-11 18:32:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'English Beginner'],eb-unit1-english-beginner,black-apple-sp100,1260002,Grade 9,No,[],13,0,0.0,128,0,0.0,2018-07-11 18:32:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'English Beginner'],eb-unit1-english-beginner,brown-ostrich-sp100,1260189,,No,[],13,0,0.0,128,2,1.5625,2018-07-11 18:32:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'English Beginner'],eb-unit1-english-beginner,brown-peacock-sp100,1260193,Grade 8,No,[],13,0,0.0,128,2,1.5625,2018-07-11 18:32:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Basic Astronomy'],ast-unit2-moon,brown-ostrich-sp100,1260189,,Yes,[],4,2,50.0,14,8,57.14285714285714,2018-07-11 18:34:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Basic Astronomy'],ast-unit2-moon,brown-peacock-sp100,1260193,Grade 8,Yes,[],4,2,50.0,14,8,57.14285714285714,2018-07-11 18:34:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'English Elementary'],ee-unit2-english-elementary,black-apple-sp100,1260002,Grade 9,No,[],13,0,0.0,104,0,0.0,2018-07-11 18:34:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'English Beginner'],eb-unit0-english-beginner,blue-copper-sp100,1259953,Grade 8,No,[],12,0,0.0,68,2,2.9411764705882346,2018-07-11 18:33:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'English Beginner'],eb-unit0-english-beginner,yellow-copper-sp100,1259993,,No,[],12,0,0.0,68,10,14.705882352941178,2018-07-11 18:33:00,ct,1011024-ct24,3,1,7,9,20
